ID,Name,Latitude,Longitude,Country,Region,City,Construction_Date,Builder,Status,Fort_Type,Notes
1,Baluard de la Reina,41.618035,,,,,,0.6276388,
2,Baluard de Louvigny,41.6191614,,,,,,0.6270318,
3,Baluard del Rei,41.6181617,,,,,,0.6247702,
4,Baluard de l'Assumpció,41.6173385,,,,,,0.6263569,
5,Baluard de la Mitja Lluna,41.6176419,,,,,,0.6254325,
6,Simibaluard Baix del Rei,41.6179233,,,,,,0.624458,
7,Punta de Diamant,41.6174699,,,,,,0.6239894,
8,Simibaluard Baix de Louvigny,41.6188944,,,,,,0.6259533,
9,Bedem Cornaro,,,,,,,,
10,Bedem Priuli,,,,,,,,
11,,43.5102302,,,,,,16.4383404,
12,,43.5099136,,,,,,16.4408079,
13,,43.5101402,,,,,,16.4412058,
14,,43.5102004,,,,,,16.4398687,
15,,43.5104728,,,,,,16.4398643,
16,,43.5106125,,,,,,16.4400047,
17,,43.5108058,,,,,,16.4409465,
18,,43.5108937,,,,,,16.4407389,
19,,43.5103238,,,,,,16.437122,
20,,43.5105324,,,,,,16.4383726,
21,,43.510644,,,,,,16.4380304,
22,,43.5107325,,,,,,16.4377283,
23,,43.5108634,,,,,,16.43728,
24,,43.510311,,,,,,16.4371776,
25,,43.510797,,,,,,16.4373363,
26,,43.510688,,,,,,16.4377114,
27,,43.5102345,,,,,,16.4382898,
28,,43.510611,,,,,,16.4380104,
29,,43.510511,,,,,,16.4383324,
30,,43.5099538,,,,,,16.4406654,
31,,43.5102202,,,,,,16.4400906,
32,,43.5101443,,,,,,16.4405622,
33,,,,,,,,,
34,,,,,,,,,
