Name,Latitude,Longitude,VAR_SOLAR_WIND,VAR_MAGNETIC_FIELD,VAR_COSMIC_RAYS,VAR_IONOSPHERIC,VAR_GEOMAGNETIC,VAR_SOLAR_FLARES,VAR_CORONAL_MASS,VAR_SCHUMANN,VAR_ATMOSPHERIC,VAR_MAGNETOSPHERE,VAR_PLASMA_DENSITY,VAR_ELECTROMAGNETIC,Earth_D1_SURFACE_SEISMIC,Earth_D2_CRUSTAL_STRESS,Earth_D3_MANTLE_UPPER,Earth_D4_MANTLE_LOWER,Earth_D5_CORE_OUTER,Earth_D6_CORE_INNER,Tetrahedral_Base_Angle,Tetrahedral_Optimized_Angle,RGB_Focus_Factor,CMYK_Focus_Factor,Convergence_Factor,Solar_Angle,Firmament_Height_km,Refraction_Factor,EM_Coupling,Sun_Ray_Intensity,Earthquake_Max_Prob,Earthquake_Avg_Prob,Volcanic_Max_Prob,Volcanic_Avg_Prob
Baluard de la Reina,41.618035,0.6276388,399.724554036563,69328.77173123004,3.2,17.633952444444446,2.911808412711662,103.42872835696068,0.8,7.83,1013.25,0,5.0,3.743753673486423,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,29.380391663917596,0.4973736179194721,0.491880231718901,0.4946269248191866,37.87098693618737,85,0.9995861095764674,0.949606804097644,35.96254687249652,95,95.0,95,95.0
Baluard de Louvigny,41.6191614,0.6270318,399.7228114623951,69329.1241029514,3.2,17.633852320000003,2.9118232123239594,103.42827746589472,0.8,7.83,1013.25,0,5.0,3.7437727015593762,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,29.38033952157872,0.4973721403697529,0.4918784308490552,0.49462528560940405,37.869860536187375,85,0.9995861017367687,0.9496067966499302,35.9614769533485,95,95.0,95,95.0
Baluard del Rei,41.6181617,0.6247702,399.7243580279097,69328.8113667921,3.2,17.633941182222223,2.9118100774052684,103.42867763972164,0.8,7.83,1013.25,0,5.0,3.7437558138067737,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,29.380301455288567,0.4973718317442147,0.49188140021210147,0.49462661597815805,37.87086023618737,85,0.9995861086946658,0.9496068032599325,35.96242652558958,95,95.0,95,95.0
Baluard de l'Assumpció,41.6173385,0.6263569,399.7256315426958,69328.55384512925,3.2,17.634014355555557,2.911799261495429,103.42900716167252,0.8,7.83,1013.25,0,5.0,3.7437419076369802,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,29.380373990437544,0.49737357284130984,0.49188215665629853,0.49462786474880416,37.87168343618737,85,0.9995861144238245,0.9496068087026333,35.963208448034266,95,95.0,95,95.0
Baluard de la Mitja Lluna,41.6176419,0.6254325,399.725162173908,69328.64875775378,3.2,17.633987386666664,2.911803247825659,103.42888571249868,0.8,7.83,1013.25,0,5.0,3.7437470329187046,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,29.380337028533727,0.497372734680042,0.4918820441448669,0.49462738941245443,37.87138003618737,85,0.9995861123123077,0.9496068066966922,35.96292026136074,95,95.0,95,95.0
Simibaluard Baix del Rei,41.6179233,0.624458,399.724726839772,69328.73678811811,3.2,17.633962373333333,2.911806945100961,103.42877306979099,0.8,7.83,1013.25,0,5.0,3.7437517865583785,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,29.380299218654937,0.4973718895392511,0.49188199712608477,0.49462694333266793,37.87109863618738,85,0.9995861103538669,0.9496068048361735,35.96265297154547,95,95.0,95,95.0
Punta de Diamant,41.6174699,0.6239894,399.72542826300327,69328.59495099234,3.2,17.634002675555557,2.911800987941679,103.42895456305209,0.8,7.83,1013.25,0,5.0,3.743744127353587,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,29.380298734509694,0.49737207185887183,0.4918830710887666,0.4946275714738192,37.87155203618737,85,0.9995861135093489,0.9496068078338814,35.963083636798615,95,95.0,95,95.0
Simibaluard Baix de Louvigny,41.6188944,0.6259533,399.7232245193046,69329.04057733918,3.2,17.63387605333333,2.9118197042482463,103.42838434437004,0.8,7.83,1013.25,0,5.0,3.7437681911763168,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,29.38031506372197,0.4973717834601616,0.4918794561972647,0.4946256198287131,37.87012753618737,85,0.9995861035951239,0.9496067984153677,35.96173056522054,95,95.0,95,95.0
STAR_GATE_11,43.5102302,16.4383404,396.7972720086934,69920.70717137474,3.2,17.465757315555553,2.9366697011977396,102.67129413224941,0.8,7.83,1013.25,0,5.0,3.775718187254237,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,30.355233899324478,0.5049287729804384,0.49875390303486883,0.5018413380076536,35.97879173618737,85,0.9995721858299023,0.9495935765384071,34.16522952429665,95,95.0,95,95.0
STAR_GATE_12,43.5099136,16.4408079,396.7977617982723,69920.60812939411,3.2,17.465785457777777,2.936665541434553,102.67142086530295,0.8,7.83,1013.25,0,5.0,3.7757128389872823,8.940456403667957,8.331479122813215,7.141267819554184,5.587785252292473,4.0,2.6473288486245163,54.74,30.355529212860713,0.504930592198722,0.4987601572814215,0.5018453747400717,35.97910833618737,85,0.9995721882923089,0.9495935788776934,34.16553024978842,95,95.0,95,95.0
